Route_UID,Route_Name
1,102ADOWN
4,102AUP
5,102DOWN
10,102UP
29,107DOWN
30,107STLDOWN
32,107UP
51,113DOWN
54,113UP
67,114CSTLUP
69,114DOWN
70,114BSTL-RKD-IIDOWN
71,114BSTL-RKD-IIUP
72,114UP
73,116ADOWN2
74,116AUP2
83,120ADOWN
84,120AUP
89,123DOWN
90,123UP
92,125A-EXTUP
93,125EXTDOWN
112,131AUP2
113,131DOWN
116,131UP
117,133DOWN
118,133UP
119,135DOWN
123,136DOWN
126,136LINKSTL-BD-1UP
130,136UP
133,137DOWN
134,137STLDOWN
136,137UP
140,139UP
142,140UP
143,141DOWN
148,141UP
149,143DOWN
154,143UP
158,144STLDOWN
159,144STLUP
161,147DOWN
163,147LSTLUP
166,147UP
171,148STLUP
177,153DOWN
180,153UP
184,156UP
186,158UP
191,161DOWN
194,161UP
211,169DOWN
214,169UP
223,172DOWN
224,172EDOWN
237,174BSTLDOWN
238,174BSTLUP
239,174DOWN
241,174LSTLUP
244,174UP
251,179DOWN
252,179UP
263,188DOWN
264,188LINKSTLDOWN
268,188UP
270,191AUP2
271,191DOWN
273,191STLUP2
274,191UP
292,207DOWN
295,207UP
307,215AUP
308,215DOWN
309,215STLDOWN
313,215UP
314,217DOWN
352,254ADOWN
353,254AUP
354,254DOWN
355,254UP
374,267DOWN
390,281DOWN
399,307STLDOWN
406,311ADOWN
407,311AUP
408,317DOWN
411,317UP
440,354UP
447,359DOWN
448,359UP
477,408STLUP
488,419ADOWN
492,422DOWN
493,422UP
514,456DOWN
515,456UP
543,511DOWN
546,511UP
549,522BDOWN2
550,522BUP
565,539DOWN
568,539UP
584,546DOWN
601,568AUP
606,569DOWN
607,569UP
617,588LSTLDOWN
622,605DOWN
623,605UP
624,611BDOWN
625,611BUP
627,611ESTLDOWN
629,611STLDOWN
654,706ADOWN
655,706AUP
657,706UP
662,709ADOWN
664,709DOWN
670,712DOWN
674,715STLUP2
681,717CUP
684,717EDOWN
685,717EUP
686,717STLDOWN2
701,722UP
713,727UP
738,741DOWN
740,741STLUP
741,741UP
746,745DOWN
749,745UP
762,763DOWN
774,770CDOWN
775,770CUP
780,773DOWN
783,774BUP
784,774DOWN
785,774UP
786,775EDOWN
787,775EUP
789,775LINKSTLUP
797,780UP
800,781UP
805,783UP
808,784DOWN
811,784UP
830,794ADOWN2
835,801AUP
840,801STL-KAP-DWS-22UP
846,806STLUP
868,817NSTLDOWN
871,817UP
873,818AUP
876,819DOWN
879,819STLUP2
886,824DOWN
915,828DOWN
921,828LTDUP
929,833ADOWN
930,833AUP
941,835LSTLUP
945,836DOWN
956,838UP
967,847DOWN
969,849DOWN
970,849STLDOWN
971,849STLUP
975,850DOWN
980,850UP
982,858UP
1010,874EDOWN
1011,874EUP
1019,878DOWN
1020,878UP
1024,879STLDOWN
1032,885DOWN
1036,885STLUP
1050,890DOWN
1051,890UP
1059,892STLDOWN
1060,892STLUP
1064,893DOWN
1066,901ADOWN
1067,901AUP
1075,905STLUP
1088,919DOWN
1089,919STLDOWN
1091,919UP
1112,929DOWN
1113,929EDOWN
1114,929EUP
1115,929UP
1124,938BDOWN
1127,938BUP
1144,942DOWN
1151,943UP
1152,944ASTLDOWN
1154,944DOWN
1159,944UP
1162,945LINKSTLDOWN
1174,953LSTLUP
1175,953STLDOWN
1176,953STLUP
1178,954DOWN
1183,954UP
1188,956UP
1193,961DOWN
1201,962DOWN
1220,972EXTDOWN
1221,972EXTUP
1222,972EXUP
1233,979DOWN
1234,979LNKSTLDOWN
1236,979UP
1241,981DOWN
1244,981UP
1255,989DOWN
1258,989UP
1273,991DOWN
1274,991STLDOWN
1275,991STLUP
1276,991UP
1278,992ASTLUP
1293,AIRPORT-08DOWN
1302,CBD2(+)UP
1303,CBD2(-)DOWN
1304,CENTRAL_SECRETARIAT_CIRCULAR_SERVICE
1312,D-006DOWN
1313,D-006UP
1315,D-008STLUP
1316,D-008UP
1317,D-010DOWN
1318,D-010UP
1319,D-014DOWN
1321,D-014STLUP
1322,D-014UP
1323,D-018DOWN
1325,D-018STLUP
1326,D-018UP
1327,D-022DOWN
1328,D-022UP
1330,D-024UP
1331,D-026DOWN
1333,D-026STLUP
1334,D-026UP
1335,D-028DOWN
1336,D-028UP
1337,D-030DOWN
1338,D-030UP
1339,D-032DOWN
1340,D-032UP
1341,D-034DOWN
1342,D-034UP
1343,D-036DOWN
1344,D-036UP
1346,D-042DOWN
1347,D-042UP
1348,D-044STLDOWN
1351,D-046UP
1352,D-054DOWN
1356,D-060DOWN
1357,D-060UP
1361,D-040STL-KNDUP
1366,DW-2STL-DWS-22DOWN
1399,MC137UP
1404,MC715DOWN
1407,MC715UP
1408,ML06DOWN
1411,ML06UP
1412,ML96DOWN
1415,ML96UP
1416,OMS(+)BURARI-DHAULAKUAN
1443,RL-77BDOWN
1444,RL-77BUP
1455,YMSMINUS
1456,YMSPLUS
1467,03DOWN
1468,03UP
1503,100ADOWN
1506,100EXTUP
1507,103DOWN
1510,103UP
1513,106ADOWN
1514,106AUP
1515,106DOWN
1516,106UP
1519,108DOWN
1520,108UP
1521,109DOWN
1522,109UP
1523,112DOWN
1524,112UP
1526,113EXTDOWN
1527,113EXTUP
1529,114ADOWN
1530,114AUP
1531,114BDOWN
1534,114BUP
1535,114CDOWN
1536,114CUP
1547,116DOWN
1548,116UP
1551,118EXTDOWN
